,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,target
0,0.58101666,0.4537617,0.5774044,0.4500553,0.580916,0.43899795,0.53554404,0.4516115,0.53262067,0.41925368,0.489652,0.50037444,0.47301126,0.42128158,0.6129058,0.4197031,0.56724125,0.3690859,0.6877079,0.30409008,0.6390232,0.27538633,0.28122747,0.68276,0.2833457,0.6332676,0.45730326,0.78326964,0.46756965,0.73380923,0.6139376,0.8621144,0.6014308,0.8047497,downdog
1,0.6722271,0.42099792,0.6760453,0.4571236,0.6777591,0.4362429,0.63331646,0.49960762,0.63365626,0.4603377,0.5305197,0.5101599,0.5259634,0.39556015,0.6633071,0.6500455,0.70058244,0.4997861,0.7812189,0.86853355,0.83372045,0.7010875,0.21361053,0.3129894,0.2110546,0.19873428,0.51836616,0.19935453,0.47594166,0.11019485,0.71222353,0.11535211,0.70758307,0.10745032,downdog
2,0.35411033,0.37087056,0.406322,0.421844,0.4154774,0.41241312,0.4025042,0.44862837,0.37736052,0.36381587,0.37792736,0.52787864,0.38042372,0.39419383,0.45152533,0.5726073,0.47467953,0.33513582,0.5697261,0.5963061,0.608204,0.29971087,0.46636808,0.5271197,0.46980602,0.43964404,0.63748056,0.62971413,0.632584,0.30776805,0.64653665,0.6680648,0.70389473,0.3051287,downdog
3,0.6192981,0.38346836,0.6190821,0.36314905,0.6201333,0.36147234,0.5659021,0.34328935,0.5641146,0.34098953,0.49761018,0.3905589,0.49365395,0.3852441,0.6481276,0.28081608,0.6195708,0.2742461,0.76072615,0.15780154,0.70883167,0.17531542,0.2524588,0.6108121,0.26746774,0.60413915,0.49328792,0.7524276,0.5122641,0.7067756,0.71068305,0.8968417,0.69409263,0.81743616,downdog
4,0.72516894,0.46629843,0.7260777,0.45324093,0.7264225,0.45400918,0.6957041,0.42701373,0.6986701,0.4309557,0.6641342,0.43620634,0.65453887,0.43126783,0.7523531,0.3650033,0.7218137,0.36551428,0.8046303,0.28258342,0.7634729,0.29296717,0.4887415,0.604797,0.4879932,0.60498714,0.63827,0.7179472,0.6378478,0.7174944,0.76970625,0.80850166,0.7557825,0.79856896,downdog
5,0.5925812,0.59021914,0.58870536,0.61377954,0.59409547,0.5948181,0.5442376,0.6227974,0.5542817,0.58981234,0.43007112,0.61604893,0.5004636,0.50589514,0.5012852,0.7041971,0.65149474,0.61928463,0.5790667,0.8142271,0.7570044,0.7436063,0.20995902,0.29960316,0.24163179,0.22563085,0.43726215,0.20201078,0.45717943,0.15677564,0.51762336,0.16033234,0.55081534,0.11024517,downdog
6,0.6206395,0.35282397,0.6154289,0.33903322,0.61308116,0.3370723,0.5694894,0.35107693,0.5644504,0.3447213,0.535503,0.40556073,0.5261188,0.39082882,0.6725094,0.30170873,0.6413013,0.30522272,0.7532598,0.16310528,0.72228456,0.17900929,0.2849168,0.63253605,0.28528476,0.62654614,0.5241187,0.75897425,0.5192214,0.75675666,0.7208788,0.88822377,0.6960522,0.865503,downdog
7,0.53323126,0.34461686,0.53497064,0.3258412,0.53577864,0.32628083,0.4857397,0.3010972,0.48378217,0.3001607,0.44019315,0.34398803,0.41761214,0.3418511,0.6216807,0.317425,0.57194847,0.3203324,0.7707388,0.24151866,0.68188083,0.25242838,0.24104303,0.64828336,0.23756514,0.636013,0.5088793,0.76160574,0.48646122,0.7366389,0.76470107,0.83189285,0.6612794,0.771449,downdog
8,0.63136244,0.6486676,0.62952614,0.6674463,0.63148683,0.6691007,0.5836417,0.68765736,0.5832006,0.69343233,0.5247553,0.6474191,0.5269569,0.65145165,0.61836666,0.7046084,0.64712065,0.71491253,0.68763566,0.8043122,0.7242686,0.8163533,0.288201,0.4363,0.29193217,0.43624777,0.49781546,0.27841452,0.50322366,0.28187966,0.65953207,0.16453862,0.6713979,0.15117867,downdog
9,0.59891325,0.64392924,0.60163236,0.6663345,0.6043068,0.6669357,0.5536091,0.68777627,0.55204654,0.6858965,0.48788285,0.6406388,0.4897276,0.62800455,0.6150217,0.718528,0.6465828,0.71716833,0.6884384,0.8185386,0.7284319,0.8320696,0.26065597,0.3665894,0.2648608,0.36785686,0.49974114,0.21545392,0.5041453,0.21723422,0.6768982,0.108921304,0.6907467,0.102062844,downdog
